start_value,sequence_length,max_value,sequence
1,1,1,[1]
2,2,2,"[2, 1]"
3,8,16,"[3, 10, 5, 16, 8, 4, 2, 1]"
4,3,4,"[4, 2, 1]"
5,6,16,"[5, 16, 8, 4, 2, 1]"
6,9,16,"[6, 3, 10, 5, 16, 8, 4, 2, 1]"
7,17,52,"[7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8,4,8,"[8, 4, 2, 1]"
9,20,52,"[9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
10,7,16,"[10, 5, 16, 8, 4, 2, 1]"
11,15,52,"[11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
12,10,16,"[12, 6, 3, 10, 5, 16, 8, 4, 2, 1]"
13,10,40,"[13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
14,18,52,"[14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
15,18,160,"[15, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
16,5,16,"[16, 8, 4, 2, 1]"
17,13,52,"[17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
18,21,52,"[18, 9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
19,21,88,"[19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
20,8,20,"[20, 10, 5, 16, 8, 4, 2, 1]"
21,8,64,"[21, 64, 32, 16, 8, 4, 2, 1]"
22,16,52,"[22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
23,16,160,"[23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
24,11,24,"[24, 12, 6, 3, 10, 5, 16, 8, 4, 2, 1]"
25,24,88,"[25, 76, 38, 19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
26,11,40,"[26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
27,112,9232,"[27, 82, 41, 124, 62, 31, 94, 47, 142, 71, 214, 107, 322, 161, 484, 242, 121, 364, 182, 91, 274, 137, 412, 206, 103, 310, 155, 466, 233, 700, 350, 175, 526, 263, 790, 395, 1186, 593, 1780, 890, 445, 1336, 668, 334, 167, 502, 251, 754, 377, 1132, 566, 283, 850, 425, 1276, 638, 319, 958, 479, 1438, 719, 2158, 1079, 3238, 1619, 4858, 2429, 7288, 3644, 1822, 911, 2734, 1367, 4102, 2051, 6154, 3077, 9232, 4616, 2308, 1154, 577, 1732, 866, 433, 1300, 650, 325, 976, 488, 244, 122, 61, 184, 92, 46, 23, 70, 35, 106]"
28,19,52,"[28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
