gap_size,prime_start,prime_end,merit
1,2,3,1.4426950408889634
2,3,5,1.8204784532536746
2,5,7,1.2426698691192237
4,7,11,2.055593369479003
2,11,13,0.8340647828484926
4,13,17,1.5594849810051203
2,17,19,0.7059122477295223
4,19,23,1.3584930875804344
6,23,29,1.913573933422806
2,29,31,0.5939484087467402
6,31,37,1.7472400573197748
4,37,41,1.1077515736354295
2,41,43,0.538565016128782
4,43,47,1.063490342699408
6,47,53,1.558381813033629
6,53,59,1.511223892510198
2,59,61,0.4904921236196608
6,61,67,1.4595436878495878
4,67,71,0.9513180539174313
2,71,73,0.46918841144322115
6,73,79,1.3984516302510555
4,79,83,0.9154474741566194
6,83,89,1.3578222281685395
8,89,97,1.7822784785922416
4,97,101,0.8743721775640131
2,101,103,0.4333581306710633
4,103,107,0.8630493843671131
2,107,109,0.4280062614855671
4,109,113,0.8526334222946941
14,113,127,2.961466360890476
4,127,131,0.8257319398711032
6,131,137,1.2307194154882497
2,137,139,0.40650564100781805
10,139,149,2.0265584813122057
2,149,151,0.3996845445011454
6,151,157,1.1958671222550201
6,157,163,1.1866511698567788
4,163,167,0.7852760426623333
6,167,173,1.1723343598898872
6,173,179,1.16430438487243
2,179,181,0.3855506559292531
10,181,191,1.923632915409209
2,191,193,0.38078748705659426
4,193,197,0.7600675427242585
2,197,199,0.3785581822485851
12,199,211,2.2670147284828963
12,211,223,2.2422119011226336
4,223,227,0.7397582634812182
2,227,229,0.3686669911345144
4,229,233,0.7361436594260009
6,233,239,1.1007077002135632
2,239,241,0.3651991802802401
10,241,251,1.8232215561052254
6,251,257,1.0858838299947193
6,257,263,1.0812610798998072
6,263,269,1.0767828680527376
2,269,271,0.35748046043839615
6,271,277,1.0710233381051029
4,277,281,0.7112353394347273
2,281,283,0.3547134079517437
10,283,293,1.7713389535511572
14,293,307,2.4647138324239495
4,307,311,0.6984645264378222
2,311,313,0.34844462694049666
4,313,317,0.6961118267772207
14,317,331,2.431019064000159
6,331,337,1.0341050650505001
10,337,347,1.718188575604124
2,347,349,0.3419198070273967
