gap_size,prime_start,prime_end,merit,gap_ratio,local_density,merit_normalized,log_prime,gap_anomaly,regime
1,2,3,1.4426950408889634,,,1.4366845578244913,0.6931471805599453,-0.3862943611198906,
2,3,5,1.8204784532536744,2.0,,1.812894068056249,1.0986122886681098,-0.19722457733621956,
2,5,7,1.2426698691192235,1.0,,1.2374927208020932,1.6094379124341003,-1.2188758248682006,
4,7,11,2.055593369479003,2.0,,2.047029460416779,1.9459101490553132,0.10817970188937354,
2,11,13,0.8340647828484926,0.5,,0.8305899443622562,2.3978952727983707,-2.7957905455967413,
4,13,17,1.5594849810051203,2.0,,1.552987933602882,2.5649493574615367,-1.1298987149230735,
2,17,19,0.7059122477295223,0.5,,0.7029713118492914,2.833213344056216,-3.6664266881124323,
4,19,23,1.3584930875804344,2.0,,1.3528334024323707,2.9444389791664403,-1.8888779583328805,
6,23,29,1.913573933422806,1.5,,1.9056016985474675,3.1354942159291497,-0.27098843185829935,
2,29,31,0.5939484087467402,0.3333333333333333,2.9,0.5914739309459829,3.367295829986474,-4.734591659972948,0.0
6,31,37,1.7472400573197748,3.0,3.4,1.7399607942208897,3.4339872044851463,-0.8679744089702925,2.0
4,37,41,1.1077515736354295,0.6666666666666666,3.6,1.103136515092721,3.6109179126442243,-3.2218358252884487,0.0
2,41,43,0.538565016128782,0.5,3.6,0.536321273815393,3.713572066704308,-5.427144133408616,0.0
4,43,47,1.063490342699408,2.0,3.6,1.0590596830569616,3.7612001156935624,-3.5224002313871248,0.0
6,47,53,1.558381813033629,1.5,4.0,1.5518893615939622,3.8501476017100584,-1.7002952034201169,2.0
6,53,59,1.511223892510198,1.0,4.2,1.5049279080123508,3.970291913552122,-1.940583827104244,2.0
2,59,61,0.4904921236196608,0.3333333333333333,4.2,0.4884486601580714,4.07753744390572,-6.155074887811439,0.0
6,61,67,1.4595436878495878,3.0,4.4,1.4534630108048594,4.110873864173311,-2.2217477283466227,2.0
4,67,71,0.9513180539174312,0.6666666666666666,4.2,0.9473547207874622,4.204692619390966,-4.4093852387819314,0.0
2,71,73,0.4691884114432211,0.5,4.2,0.46723370242911905,4.2626798770413155,-6.525359754082631,0.0
6,73,79,1.3984516302510557,3.0,4.2,1.3926254718448219,4.290459441148391,-2.580918882296782,2.0
4,79,83,0.9154474741566194,0.6666666666666666,4.2,0.9116335832206378,4.3694478524670215,-4.738895704934043,0.0
6,83,89,1.3578222281685397,1.5,4.6,1.3521653379210057,4.418840607796598,-2.8376812155931965,2.0
8,89,97,1.7822784785922416,1.3333333333333333,5.0,1.7748532401959478,4.48863636973214,-0.9772727394642793,2.0
4,97,101,0.8743721775640131,0.5,4.8,0.8707294124498725,4.574710978503383,-5.149421957006766,0.0
2,101,103,0.4333581306710633,0.5,4.4,0.43155269595934165,4.61512051684126,-7.230241033682519,0.0
4,103,107,0.8630493843671131,2.0,4.6,0.8594537917009422,4.634728988229636,-5.269457976459272,0.0
2,107,109,0.4280062614855671,0.5,4.2,0.4262231234603876,4.672828834461906,-7.345657668923812,0.0
4,109,113,0.8526334222946941,2.0,4.2,0.8490812240825568,4.6913478822291435,-5.382695764458287,0.0
14,113,127,2.961466360890476,3.5,5.4,2.949128449617718,4.727387818712341,4.545224362575318,2.0
4,127,131,0.8257319398711032,0.2857142857142857,5.2,0.8222918172535535,4.844187086458591,-5.688374172917182,0.0
6,131,137,1.2307194154882497,1.5,5.4,1.2255920545462236,4.875197323201151,-3.7503946464023024,0.0
2,137,139,0.406505641007818,0.3333333333333333,5.0,0.40481207777952527,4.919980925828125,-7.83996185165625,0.0
10,139,149,2.0265584813122057,5.0,5.2,2.018115535931605,4.9344739331306915,0.13105213373861702,2.0
2,149,151,0.3996845445011454,0.2,5.0,0.3980193989799027,5.003946305945459,-8.007892611890918,0.0
6,151,157,1.19586712225502,3.0,5.4,1.1908849611731853,5.017279836814924,-4.034559673629849,2.0
6,157,163,1.1866511698567788,1.0,5.6,1.181707403809406,5.056245805348308,-4.112491610696615,0.0
4,163,167,0.7852760426623333,0.6666666666666666,5.8,0.7820044653562596,5.093750200806762,-6.187500401613525,0.0
6,167,173,1.1723343598898872,1.5,6.0,1.1674502398116238,5.117993812416755,-4.235987624833511,0.0
6,173,179,1.16430438487243,1.0,5.2,1.1594537188696867,5.153291594497779,-4.306583188995559,0.0
2,179,181,0.3855506559292531,0.3333333333333333,5.0,0.3839443942992617,5.187385805840755,-8.37477161168151,0.0
10,181,191,1.923632915409209,5.0,5.4,1.9156187733122045,5.198497031265826,-0.39699406253165215,2.0
2,191,193,0.3807874870565942,0.2,5.4,0.37920106949969584,5.25227342804663,-8.50454685609326,0.0
4,193,197,0.7600675427242585,2.0,4.8,0.7569009877948231,5.262690188904886,-6.525380377809771,0.0
2,197,199,0.3785581822485851,0.5,4.8,0.3769810523085526,5.2832037287379885,-8.566407457475977,0.0
12,199,211,2.2670147284828963,6.0,5.4,2.257570006454838,5.293304824724492,1.4133903505510155,2.0
12,211,223,2.2422119011226336,1.0,6.0,2.2328705113786507,5.351858133476067,1.2962837330478667,2.0
4,223,227,0.7397582634812182,0.3333333333333333,6.0,0.7366763200431113,5.407171771460119,-6.814343542920238,0.0
2,227,229,0.3686669911345144,0.5,5.6,0.36713106937430756,5.424950017481403,-8.849900034962806,0.0
4,229,233,0.7361436594260009,2.0,5.4,0.7330767749683735,5.43372200355424,-6.86744400710848,0.0
6,233,239,1.1007077002135632,1.5,5.8,1.096121987499814,5.4510384535657,-4.9020769071314,0.0
