,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cz_steps,cz_max,cz_even_steps,cz_odd_steps,cz_ratio_even,cz_ratio_odd,cz_growth_factor,cz_balance
t,1.0,-0.26657413042764566,0.9694523566556671,-0.9999998269560902,-0.0009090581272570145,-0.0013476539969417174,0.007067218290298248,0.12179115604519651,0.5451688253783674,0.13108682003184455,0.10591458636824043,-0.016511500858074145,0.016511500858074145,-0.033751520503768964,-0.016511500858074145
gap,-0.26657413042764566,1.0,-0.25678443799429557,0.2662256839486709,0.9409789968074623,0.02315820817035248,-0.11588952300725476,-0.03616656723541659,-0.17265258411526035,-0.0395808208556911,-0.030609086566708802,-0.0015592128930665505,0.0015592128930665505,0.0056244768560437825,-0.0015592128930665505
rho_local,0.9694523566556671,-0.25678443799429557,1.0,-0.9694525075889442,0.01392031788703772,0.0008902290731304523,0.01252595549796302,0.12036198024489625,0.5352703705703497,0.12953411798115863,0.10473851564313169,-0.016789244945391562,0.016789244945391562,-0.032001474511990036,-0.016789244945391562
norm_height,-0.9999998269560902,0.2662256839486709,-0.9694525075889442,1.0,0.0005417186887722579,0.0013509295295471067,-0.007057299342806547,-0.12178924359750971,-0.545164969755757,-0.13108488754166228,-0.1059127055167521,0.01650973351575185,-0.01650973351575185,0.03375801636571257,0.01650973351575185
s_unfolded,-0.0009090581272570145,0.9409789968074623,0.01392031788703772,0.0005417186887722579,1.0,0.020366807662799708,-0.11899839423427346,0.006818395734221152,0.0007921880447122466,0.006785672794101723,0.006854064025227591,-0.007101640021636859,0.007101640021636859,-0.00305500950040755,-0.007101640021636859
montgomery_local,-0.0013476539969417174,0.02315820817035248,0.0008902290731304523,0.0013509295295471067,0.020366807662799708,1.0,-0.10251905983328406,0.001711473128288542,-0.003954545150993526,0.0016560567993001874,0.0018312035516506863,-0.002275875107124375,0.002275875107124375,0.0005069221155972262,-0.002275875107124375
gue_distance,0.007067218290298248,-0.11588952300725476,0.01252595549796302,-0.007057299342806547,-0.11899839423427346,-0.10251905983328406,1.0,-0.002514991364981096,-0.002813347424120939,-0.0024022075202200922,-0.002757254188326562,0.0039060075488286223,-0.0039060075488286223,-0.0010978757885979423,0.0039060075488286223
cz_steps,0.12179115604519651,-0.03616656723541659,0.12036198024489625,-0.12178924359750971,0.006818395734221152,0.001711473128288542,-0.002514991364981096,1.0,0.324331703463718,0.9999266024455336,0.9998109307731523,-0.9912576731940698,0.9912576731940698,0.29681565123252157,-0.9912576731940698
cz_max,0.5451688253783674,-0.17265258411526035,0.5352703705703497,-0.545164969755757,0.0007921880447122466,-0.003954545150993526,-0.002813347424120939,0.324331703463718,1.0,0.33010520218337397,0.3147426185966981,-0.2583022242703745,0.2583022242703745,0.7613185113600636,-0.2583022242703745
cz_even_steps,0.13108682003184455,-0.0395808208556911,0.12953411798115863,-0.13108488754166228,0.006785672794101723,0.0016560567993001874,-0.0024022075202200922,0.9999266024455336,0.33010520218337397,1.0,0.9995196202577209,-0.9896912218150578,0.9896912218150578,0.29588822325704595,-0.9896912218150578
cz_odd_steps,0.10591458636824043,-0.030609086566708802,0.10473851564313169,-0.1059127055167521,0.006854064025227591,0.0018312035516506863,-0.002757254188326562,0.9998109307731523,0.3147426185966981,0.9995196202577209,1.0,-0.9935199124912543,0.9935199124912543,0.2982793952425228,-0.9935199124912543
cz_ratio_even,-0.016511500858074145,-0.0015592128930665505,-0.016789244945391562,0.01650973351575185,-0.007101640021636859,-0.002275875107124375,0.0039060075488286223,-0.9912576731940698,-0.2583022242703745,-0.9896912218150578,-0.9935199124912543,1.0,-1.0,-0.30441361303320896,1.0
cz_ratio_odd,0.016511500858074145,0.0015592128930665505,0.016789244945391562,-0.01650973351575185,0.007101640021636859,0.002275875107124375,-0.0039060075488286223,0.9912576731940698,0.2583022242703745,0.9896912218150578,0.9935199124912543,-1.0,1.0,0.30441361303320896,-1.0
cz_growth_factor,-0.033751520503768964,0.0056244768560437825,-0.032001474511990036,0.03375801636571257,-0.00305500950040755,0.0005069221155972262,-0.0010978757885979423,0.29681565123252157,0.7613185113600636,0.29588822325704595,0.2982793952425228,-0.30441361303320896,0.30441361303320896,1.0,-0.30441361303320896
cz_balance,-0.016511500858074145,-0.0015592128930665505,-0.016789244945391562,0.01650973351575185,-0.007101640021636859,-0.002275875107124375,0.0039060075488286223,-0.9912576731940698,-0.2583022242703745,-0.9896912218150578,-0.9935199124912543,1.0,-1.0,-0.30441361303320896,1.0
