split,model_id,n,steps,pred,residual
train,12,4,2.0,-0.12750251807454646,2.1275025180745466
train,12,6,8.0,14.380007177206434,-6.3800071772064335
train,12,8,3.0,1.9575242811746645,1.0424757188253355
train,12,10,6.0,21.096641013834272,-15.096641013834272
train,12,12,9.0,12.492464286453599,-3.4924642864535986
train,12,14,17.0,23.82764786741466,-6.827647867414662
train,12,16,4.0,2.788704069892308,1.211295930107692
train,12,18,20.0,26.381594758721807,-6.381594758721807
train,12,20,7.0,18.74339725880071,-11.743397258800709
train,12,22,15.0,29.709998212099606,-14.709998212099606
train,12,24,10.0,14.003017221849376,-4.003017221849376
train,12,26,10.0,30.590227671693242,-20.590227671693242
train,12,28,18.0,22.225534799070576,-4.2255347990705765
train,12,30,18.0,31.96201519070356,-13.96201519070356
train,12,32,5.0,5.256713445043809,-0.25671344504380933
train,12,34,13.0,34.465550295311104,-21.465550295311104
train,12,36,21.0,25.11243109098174,-4.11243109098174
train,12,38,21.0,34.73589214144818,-13.735892141448183
train,12,40,8.0,19.870967618294195,-11.870967618294195
train,12,42,8.0,35.63774416097888,-27.637744160978883
train,12,44,16.0,27.800555837143314,-11.800555837143314
train,12,46,16.0,37.76776199949478,-21.76776199949478
train,12,48,11.0,15.408670874420448,-4.408670874420448
train,12,50,24.0,37.733926910636455,-13.733926910636455
train,12,52,11.0,29.33655507562238,-18.33655507562238
train,12,54,112.0,38.38318234023718,73.61681765976283
train,12,56,19.0,24.310561598319786,-5.3105615983197865
train,12,58,19.0,40.300036034057335,-21.300036034057335
train,12,60,19.0,30.980381487426566,-11.980381487426566
train,12,62,107.0,40.08387155342144,66.91612844657857
train,12,64,6.0,5.809809940683851,0.19019005931614874
train,12,66,27.0,40.575372388968894,-13.575372388968894
train,12,68,14.0,32.801136720273114,-18.801136720273114
train,12,70,14.0,42.354377997606726,-28.354377997606726
train,12,72,22.0,26.62298402637752,-4.6229840263775195
train,12,74,22.0,42.01671848380218,-20.01671848380218
train,12,76,22.0,33.695824016974655,-11.695824016974655
train,12,78,35.0,42.40032396525748,-7.400323965257478
train,12,80,9.0,22.042586422669846,-13.042586422669846
train,12,82,110.0,44.08286699747661,65.9171330025234
train,12,84,9.0,34.84550160359873,-25.845501603598727
train,12,86,30.0,43.65844872880636,-13.658448728806363
train,12,88,17.0,28.9281261966368,-11.9281261966368
train,12,90,17.0,43.96360277221893,-26.963602772218927
train,12,92,17.0,36.27349417342435,-19.273494173424353
train,12,94,105.0,45.57486127222754,59.42513872777246
train,12,96,12.0,16.919223809816224,-4.9192238098162235
train,12,98,25.0,45.085384851187115,-20.085384851187115
train,12,100,25.0,36.84833188387138,-11.848331883871381
train,12,102,25.0,45.33092447218039,-20.330924472180392
train,12,104,12.0,31.421581874871592,-19.421581874871592
train,12,106,12.0,46.88735567618283,-34.88735567618283
train,12,108,113.0,37.732397895509884,75.26760210449012
train,12,110,113.0,46.347284108901796,66.65271589109821
train,12,112,20.0,25.141741387037417,-5.141741387037417
train,12,114,33.0,46.54598843501241,-13.545988435012411
train,12,116,20.0,38.936243083857505,-18.936243083857505
train,12,118,33.0,48.05893971774238,-15.058939717742383
train,12,120,20.0,32.490934422822335,-12.490934422822335
train,12,122,20.0,47.47839518364189,-27.478395183641886
train,12,124,108.0,39.31935691976757,68.68064308023243
train,12,126,108.0,47.63933174249426,60.36066825750574
train,12,128,7.0,-0.4612132405702731,7.461213240570273
train,12,130,28.0,49.11695780188531,-21.116957801885313
train,12,132,28.0,40.037540065769164,-12.037540065769164
train,12,134,28.0,48.50330089346104,-20.503300893461038
