model_id,mask_list,term,coef
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,log2n,7.684647248422556
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,v2,-6.26063764208307
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod12_eq_10,0.48429276358443013
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod12_eq_10*v2,0.484292763584427
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod30_eq_2*v2,0.7078012252405474
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod3_eq_2*v2,0.03937490309653846
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod5_eq_2,-0.2832078025513982
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_mod5_eq_2*v2,-0.5373732296735765
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_v2_ge_5*log2n,0.8373841670266957
0,if_mod12_eq_10 | if_mod30_eq_2 | if_mod3_eq_2 | if_mod5_eq_2 | if_v2_ge_5,if_v2_ge_5*v2,-1.9053919795296208
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,bias,-1.4577551387005117
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,log2n,7.572251156432368
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,v2,-3.553460291725515
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,if_mod12_eq_10,0.5583304105545327
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,if_mod12_eq_10*v2,0.5583304105545351
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,if_mod30_eq_2*v2,0.7616642434354911
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,if_mod5_eq_2,-0.256168595065201
1,if_mod12_eq_10 | if_mod30_eq_2 | if_mod5_eq_2 | if_v2_ge_2 | if_v2_ge_6,if_mod5_eq_2*v2,-0.5644349788078524
