model_id,slice,rmse,mae,count,feature
6,"(-2.795, -0.612]",51.38394901370642,41.57898592300602,629,z_bin
6,"(-0.612, 0.43]",47.69879749461287,42.456410793996675,621,z_bin
6,"(0.43, 0.973]",43.95024370346873,39.739094844292076,626,z_bin
6,"(0.973, 1.192]",40.54460880457176,36.84316923463209,624,z_bin
12,"(-2.795, -0.612]",51.38139101254878,41.550335939052154,629,z_bin
12,"(-0.612, 0.43]",47.61149969711655,42.40599896644207,621,z_bin
12,"(0.43, 0.973]",43.96819659838148,39.732961330284574,626,z_bin
12,"(0.973, 1.192]",40.615767552324414,36.927919300765595,624,z_bin
14,"(-2.795, -0.612]",51.358547806174144,41.56315993456608,629,z_bin
14,"(-0.612, 0.43]",47.68345782571965,42.466277557104206,621,z_bin
14,"(0.43, 0.973]",43.875535629712886,39.62489918302576,626,z_bin
14,"(0.973, 1.192]",40.66572592519241,36.8837830243746,624,z_bin
6,"(0.376, 0.467]",41.949151156149554,37.91222726292418,1252,pullE_base_bin
6,"(0.467, 0.61]",48.942281888852875,43.7621933995469,623,pullE_base_bin
6,"(0.61, 0.98]",50.80350823492826,41.04875072396992,625,pullE_base_bin
12,"(0.376, 0.467]",42.00166638268055,37.96020109864254,1252,pullE_base_bin
12,"(0.467, 0.61]",48.85322995668533,43.6945381676063,623,pullE_base_bin
12,"(0.61, 0.98]",50.79036543510685,41.01963687414562,625,pullE_base_bin
14,"(0.376, 0.467]",41.96327219916954,37.87294138085468,1252,pullE_base_bin
14,"(0.467, 0.61]",48.939688645310994,43.777143426428154,623,pullE_base_bin
14,"(0.61, 0.98]",50.77444231178305,41.03259279054857,625,pullE_base_bin
6,"(0.374, 0.464]",41.98647414261014,37.942531549071624,1262,pullL1_base_bin
6,"(0.464, 0.608]",49.27076668495335,44.06510035580067,617,pullL1_base_bin
6,"(0.608, 0.981]",50.53719003674667,40.76293476509273,621,pullL1_base_bin
12,"(0.374, 0.464]",42.03535502020015,37.987946811366534,1262,pullL1_base_bin
12,"(0.464, 0.608]",49.183845383474434,43.99941187254058,617,pullL1_base_bin
12,"(0.608, 0.981]",50.52693829401463,40.735452655327066,621,pullL1_base_bin
14,"(0.374, 0.464]",41.998549351052674,37.90227624234325,1262,pullL1_base_bin
14,"(0.464, 0.608]",49.26752119241342,44.080055025286136,617,pullL1_base_bin
14,"(0.608, 0.981]",50.51165416701208,40.74941528043306,621,pullL1_base_bin
6,"(0.489, 0.699]",41.97207186563049,37.89742116540869,1251,pullJS_base_bin
6,"(0.699, 0.837]",47.74350719811727,42.640366370676496,624,pullJS_base_bin
6,"(0.837, 1.0]",51.883025625419265,42.18905876856254,625,pullJS_base_bin
12,"(0.489, 0.699]",42.02251867262734,37.945014010924275,1251,pullJS_base_bin
12,"(0.699, 0.837]",47.64655547245813,42.5702388436908,624,pullJS_base_bin
12,"(0.837, 1.0]",51.87885644523979,42.1633608546094,625,pullJS_base_bin
14,"(0.489, 0.699]",41.98368741932719,37.85676958880598,1251,pullJS_base_bin
14,"(0.699, 0.837]",47.73472162949766,42.64564509977972,624,pullJS_base_bin
14,"(0.837, 1.0]",51.864265810968654,42.185203455566125,625,pullJS_base_bin
