lep_n,jet_n,photon_n,tau_n,met,met_mpx,met_mpy,truth_jet_n,truth_elec_n,truth_muon_n,truth_tau_n,truth_photon_n,eventNumber,runNumber,m_ee,m_4l,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_e_0,lep_e_1,lep_e_2,lep_e_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,source_file
4,2,1,1,352.4324,-144.39882,-321.49274,7,0,3,0,7,2667,284500,2.1078826660447603,570.0725699442797,94.17768096923828,21.319639205932617,173.62554931640625,350.925048828125,-0.38188230991363525,-0.41058066487312317,-0.15368744730949402,-0.014386597089469433,1.901090145111084,1.9383699893951416,-0.47693881392478943,-1.8862470388412476,101.12870025634766,23.142019271850586,175.68011474609375,350.9613952636719,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,2,0,2,270.80515,-45.903202,266.88638,5,0,4,0,1,2573,284500,,2831.583983831804,829.5004272460938,97.18964385986328,1226.1409912109375,67.63346862792969,0.6655207276344299,-1.2195723056793213,-0.8620476126670837,-0.05127342790365219,2.227464437484741,1.8744070529937744,-1.3723453283309937,-0.36218297481536865,1020.0819702148438,178.88221740722656,1710.6512451171875,67.72247314453125,13.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,8,0,0,268.9136,-255.99094,82.359924,6,1,3,1,0,2837,284500,,1716.354456296482,182.92869567871094,99.2730712890625,638.5671997070312,589.763427734375,1.2153977155685425,-0.9772642254829407,-0.145041361451149,0.07863178849220276,2.8808321952819824,1.7459365129470825,-2.1876220703125,0.6162943840026855,335.5119934082031,150.57327270507812,645.2957763671875,591.587646484375,11.0,13.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,2,0,0,636.51715,122.59872,624.59875,4,1,5,1,1,2276,284500,111.73574669212488,498.12090321763725,87.170654296875,71.04468536376953,15.692317008972168,324.1457824707031,-0.30263757705688477,-1.5824354887008667,-1.5981014966964722,-0.5759015083312988,1.7022355794906616,1.3232014179229736,1.2904081344604492,-2.3011884689331055,91.19317626953125,180.17886352539062,40.37569046020508,379.4014892578125,11.0,11.0,11.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,3,0,0,329.72458,-118.318596,307.76456,3,3,2,0,0,2472,284500,121.49350413195734,1418.3498540441115,117.9773178100586,27.113540649414062,394.86474609375,642.1221313476562,0.3540436923503876,-0.5036134719848633,1.584078311920166,2.0955874919891357,-0.4185965359210968,2.3110406398773193,2.066324472427368,-1.178005576133728,125.44892883300781,30.625186920166016,1002.9432373046875,2649.78564453125,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,3,0,0,267.68787,-198.82167,-179.23933,3,2,2,0,0,2399,284500,281.06662378167687,1655.8952856808428,254.0310516357422,92.54322814941406,728.7401123046875,409.2945556640625,-0.9145156145095825,0.5212915539741516,0.5622944831848145,0.21045812964439392,-2.4978108406066895,-1.4978020191192627,1.6387757062911987,-0.18727390468120575,367.87213134765625,105.4046401977539,847.012451171875,418.3924560546875,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,3,0,1,102.400154,20.403187,-100.34691,6,2,4,0,0,2623,284500,180.585750218416,1412.5054095829348,277.68206787109375,41.124691009521484,569.4031982421875,66.8445816040039,0.051460154354572296,1.1161537170410156,0.6240893602371216,-2.4911160469055176,-1.6969484090805054,-0.3219289481639862,1.9745700359344482,-1.299963116645813,278.0498046875,69.51359558105469,683.9370727539062,406.33355712890625,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,1,0,0,3910.262,421.27362,3887.5027,4,2,3,0,2,2008,284500,257.54868632739135,3543.2521386610633,151.1423797607422,65.9460678100586,398.62335205078125,4922.99267578125,0.32284972071647644,-1.7113029956817627,0.3831503689289093,-0.5553171038627625,1.5003442764282227,2.47576904296875,0.1846153289079666,-1.7330005168914795,159.0879669189453,188.50027465820312,428.24285888671875,5701.77001953125,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,1,0,1,202.2777,182.46423,-87.31016,3,0,3,0,0,2294,284500,44.008798521598465,576.2933401887259,23.516098022460938,23.555959701538086,337.7299499511719,381.607666015625,0.5361822247505188,0.4732896089553833,0.9450608491897583,0.5411344170570374,-2.7593791484832764,-0.3462640941143036,2.1734862327575684,-2.629114866256714,26.978200912475586,26.243881225585938,500.1148681640625,438.85687255859375,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
4,6,0,1,197.747,-170.97334,-99.35788,8,3,2,1,2,2893,284500,79.13143511381088,915.2810631905046,231.57861328125,7.113739490509033,401.1742248535156,318.5240173339844,1.0358850955963135,1.3882158994674683,0.27643999457359314,-0.10152838379144669,1.6297845840454102,-2.0893592834472656,-0.49430736899375916,1.409229040145874,367.3428649902344,15.142354011535645,416.60076904296875,320.1671447753906,11.0,11.0,13.0,13.0,ODEO_FEB2025_v0_4lep_mc_312613.aMcAtNloPy8EG_A14N30NLO_LQd_gstML_0p3_nonallhad_M1000.4lep.root
