n,identical_prime_pair,propE_base,propO_base,propI_base,propE_altA,propO_altA,propI_altA,propE_altB,propO_altB,propI_altB,propE_altC,propO_altC,propI_altC,collatz_steps,collatz_max,divergence_ratio,time_to_peak_ratio,log_n,mod3,mod4,mod6,mod12,mod30,center_distance_base,center_distance_altA,center_distance_altB,center_distance_altC,mag_bin,near_center
4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,2,4,1.0,0.0,1.3862943611198906,1,0,4,4,4,0.6164414002968976,0.6164414002968976,0.6164414002968976,0.6164414002968976,4-100,0
6,1,0.5,0.25,0.25,0.5,0.125,0.375,0.25,0.75,0.0,0.375,0.0,0.625,8,16,2.6666666666666665,0.5,1.791759469228055,0,2,0,6,6,0.32403703492039304,0.24748737341529167,0.744983221287567,0.24748737341529167,4-100,1
8,0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,3,8,1.0,0.0,2.0794415416798357,2,0,2,8,8,0.6164414002968976,0.6164414002968976,0.6847546194724712,0.6164414002968976,4-100,0
10,1,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,0.0,0.5,6,16,1.6,0.3333333333333333,2.302585092994046,1,2,4,10,10,0.047140452079103175,0.26246692913372704,0.6847546194724712,0.28284271247461906,4-100,1
12,0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,9,16,1.3333333333333333,0.5555555555555556,2.4849066497880004,0,0,0,0,12,0.3177855476905576,0.3292340531117568,0.6847546194724712,0.26246692913372704,4-100,1
14,1,0.35294117647058826,0.11764705882352941,0.5294117647058824,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.6470588235294118,0.17647058823529413,0.4117647058823529,0.058823529411764705,0.5294117647058824,17,52,3.7142857142857144,0.35294117647058826,2.6390573296152584,2,2,2,2,14,0.10222439527636924,0.3430980369745338,0.565501889955509,0.182447793167892,4-100,1
16,0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.75,0.0,0.0,0.0,1.0,4,16,1.0,0.0,2.772588722239781,1,0,4,4,16,0.6164414002968976,0.6164414002968976,0.744983221287567,0.6164414002968976,4-100,0
18,0,0.45,0.1,0.45,0.45,0.2,0.35,0.15,0.7,0.15,0.5,0.05,0.45,20,52,2.888888888888889,0.45,2.8903717578961645,0,2,0,6,18,0.18708286933869708,0.21213203435596428,0.6284902544988267,0.25495097567963926,4-100,1
20,0,0.0,0.0,1.0,0.0,0.0,1.0,0.2857142857142857,0.7142857142857143,0.0,0.42857142857142855,0.0,0.5714285714285714,7,20,1.0,0.0,2.995732273553991,2,0,2,8,20,0.6164414002968976,0.6164414002968976,0.7174216873994125,0.2482592456711824,4-100,0
22,1,0.26666666666666666,0.13333333333333333,0.6,0.26666666666666666,0.2,0.5333333333333333,0.2,0.6,0.2,0.3333333333333333,0.06666666666666667,0.6,15,52,2.3636363636363638,0.26666666666666666,3.091042453358316,1,2,4,10,22,0.1247219128924647,0.04714045207910316,0.5099019513592785,0.16996731711975951,4-100,1
24,0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.7,0.1,0.3,0.0,0.7,10,24,1.0,0.0,3.1780538303479458,0,0,0,0,24,0.6164414002968976,0.6164414002968976,0.648074069840786,0.282842712474619,4-100,0
26,1,0.2,0.1,0.7,0.2,0.0,0.8,0.2,0.7,0.1,0.3,0.0,0.7,10,40,1.5384615384615385,0.2,3.258096538021482,2,2,2,2,26,0.24494897427831777,0.37416573867739417,0.648074069840786,0.282842712474619,4-100,1
28,0,0.3888888888888889,0.05555555555555555,0.5555555555555556,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.4444444444444444,0.0,0.5555555555555556,18,52,1.8571428571428572,0.3888888888888889,3.332204510175204,1,0,4,4,28,0.1784708711578779,0.1099943881845741,0.5887840577551898,0.25288459281646763,4-100,1
