n,collatz_steps,collatz_max,divergence_ratio,oscillation_count,time_to_peak_ratio,frac_up,mean_run_up,std_run_up,mean_run_down,std_run_down,prop_exploration,prop_optimization,prop_integration,identical_prime_pair,center_distance,symmetry_score,gravitational_pull
4,2,4,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0.6164414002968976,0.0,0.3773001509227609
6,8,16,2.6666666666666665,4,0.5,0.25,1.0,0.0,2.0,1.4142135623730951,0.5,0.25,0.25,1,0.32403703492039304,0.75,0.6726731646460113
8,3,8,1.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
10,6,16,1.6,2,0.3333333333333333,0.16666666666666666,1.0,0.0,2.5,1.5,0.3333333333333333,0.16666666666666666,0.5,1,0.047140452079103175,0.6666666666666666,0.9523809523809523
12,9,16,1.3333333333333333,4,0.5555555555555556,0.2222222222222222,1.0,0.0,2.3333333333333335,1.247219128924647,0.5555555555555556,0.1111111111111111,0.3333333333333333,0,0.3177855476905576,0.5555555555555556,0.6789881203784653
14,17,52,3.7142857142857144,10,0.35294117647058826,0.29411764705882354,1.0,0.0,2.0,1.1547005383792515,0.35294117647058826,0.11764705882352941,0.5294117647058824,1,0.10222439527636924,0.5882352941176471,0.8967377669962646
16,4,16,1.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
18,20,52,2.888888888888889,12,0.45,0.3,1.0,0.0,2.0,1.0690449676496976,0.45,0.1,0.45,0,0.18708286933869708,0.65,0.8110177634953863
20,7,20,1.0,2,0.0,0.14285714285714285,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
22,15,52,2.3636363636363638,8,0.26666666666666666,0.26666666666666666,1.0,0.0,2.2,1.16619037896906,0.26666666666666666,0.13333333333333333,0.6,1,0.1247219128924647,0.5333333333333333,0.8740118423302576
24,10,24,1.0,4,0.0,0.2,1.0,0.0,2.6666666666666665,1.247219128924647,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
26,10,40,1.5384615384615385,4,0.2,0.2,1.0,0.0,2.6666666666666665,1.247219128924647,0.2,0.1,0.7,1,0.24494897427831777,0.4,0.7525641703473033
28,18,52,1.8571428571428572,10,0.3888888888888889,0.2777777777777778,1.0,0.0,2.1666666666666665,1.0671873729054748,0.3888888888888889,0.05555555555555555,0.5555555555555556,0,0.1784708711578779,0.5,0.8197171953714198
30,18,160,5.333333333333333,10,0.4444444444444444,0.2777777777777778,1.0,0.0,2.1666666666666665,1.674979270186815,0.4444444444444444,0.16666666666666666,0.3888888888888889,0,0.1852592444503674,0.7222222222222222,0.8128599028166413
32,5,32,1.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0,0.6164414002968976,0.0,0.3773001509227609
34,13,52,1.5294117647058822,6,0.15384615384615385,0.23076923076923078,1.0,0.0,2.5,1.118033988749895,0.15384615384615385,0.07692307692307693,0.7692307692307693,1,0.3301425189826913,0.3076923076923077,0.6665056943847578
36,21,52,1.4444444444444444,12,0.47619047619047616,0.2857142857142857,1.0,0.0,2.142857142857143,0.989743318610787,0.47619047619047616,0.047619047619047616,0.47619047619047616,0,0.23415792101227137,0.5714285714285714,0.7634647802623985
