SampleCol,R1p,R2p,R3p,MouseID,Genotype,Gender,Zygosity
KOMP_413741,24.752097522646686,53.68958706962263,21.558315407730678,413741,Pebp1,Male,Homo-
KOMP_413742,41.3057047188858,31.398882151783354,27.295413129330846,413742,Pebp1,Male,Homo-
KOMP_413745,18.252835941802807,58.0576728495407,23.68949120865649,413745,Pebp1,Male,Homo-
KOMP_428689,36.22020314422345,41.23350301228565,22.54629384349089,428689,Pebp1,Female,Homo-
KOMP_428693,39.56595079173696,19.297665404399236,41.13638380386381,428693,Pebp1,Female,Homo-
KOMP_433002,35.19827941353475,42.6011065472493,22.200614039215957,433002,Pebp1,Female,Homo-
KOMP_185262,31.613331020025008,36.1066568438407,32.28001213613429,185262,Idh1,Male,Homo-
KOMP_115900,14.927749961403219,48.026802984889386,37.0454470537074,115900,Idh1,Male,Homo-
KOMP_115996,19.402732099394782,56.509592401091105,24.08767549951412,115996,Idh1,Male,Homo-
KOMP_138110,35.7305863747918,49.6674645347245,14.601949090483698,138110,Idh1,Female,Homo-
KOMP_138120,36.24864004303638,42.710870047589545,21.04048990937407,138120,Idh1,Female,Homo-
KOMP_190701,30.13673545117227,25.803244483851245,44.06002006497648,190701,Idh1,Female,Homo-
KOMP_487464,19.721197105242915,51.423198572691895,28.855604322065183,487464,Iqgap1,Male,Homo-
KOMP_487461,20.80174602160333,40.40512881776995,38.79312516062672,487461,Iqgap1,Male,Homo-
KOMP_493977,52.83817438871383,21.75700617546033,25.40481943582585,493977,Iqgap1,Male,Homo-
KOMP_506107,23.89495411054418,57.765847407867966,18.339198481587843,506107,Iqgap1,Female,Homo-
KOMP_435798,37.54805838051921,47.57802909649165,14.873912522989139,435798,Iqgap1,Female,Homo-
KOMP_487667,52.409942703382754,20.653610625084447,26.936446671532817,487667,Iqgap1,Female,Homo-
KOMP_204770,43.84837551575982,19.028189593382276,37.123434890857915,204770,A2m,Male,Homo-
KOMP_204771,30.966607826972346,35.03470914775157,33.99868302527609,204771,A2m,Male,Homo-
KOMP_215989,30.071671967571213,33.071327305008516,36.857000727420264,215989,A2m,Male,Homo-
KOMP_216077,53.80083781000711,15.697221739521444,30.501940450471455,216077,A2m,Female,Homo-
KOMP_216079,37.509547812587634,28.393583642157605,34.09686854525476,216079,A2m,Female,Homo-
KOMP_216080,30.578217794985747,47.80903141842231,21.612750786591942,216080,A2m,Female,Homo-
KOMP_212477,43.28282403245258,19.777555335781756,36.93962063176567,212477,Mfap4,Male,Homo-
KOMP_212480,24.053309649069988,48.939135394853466,27.00755495607655,212480,Mfap4,Male,Homo-
KOMP_213386,28.755976203736072,38.50416615102928,32.73985764523463,213386,Mfap4,Male,Homo-
KOMP_225109,30.69844791086947,26.962813891330505,42.338738197800026,225109,Mfap4,Female,Homo-
KOMP_225110,31.206428128301273,42.63485800613094,26.158713865567783,225110,Mfap4,Female,Homo-
KOMP_225111,42.097203806527446,17.04281423773636,40.8599819557362,225111,Mfap4,Female,Homo-
KOMP_233525,28.659984361659056,27.725120392045483,43.61489524629547,233525,C8a,Male,Homo-
KOMP_257443,25.95058195137348,26.8948674122472,47.15455063637932,257443,C8a,Male,Homo-
KOMP_257445,18.820936205885204,51.71075153006599,29.4683122640488,257445,C8a,Male,Homo-
KOMP_222899,31.147327866997156,50.58365957749498,18.26901255550787,222899,C8a,Female,Homo-
KOMP_224106,29.30942974628446,32.76658844126439,37.923981812451146,224106,C8a,Female,Homo-
KOMP_224107,21.54971943749065,47.3021852024763,31.148095360033036,224107,C8a,Female,Homo-
KOMP_172417,27.42567479454361,52.98036842656884,19.593956778887552,172417,Pipox,Male,Homo-
KOMP_285069,28.39688626713231,40.4544699031193,31.148643829748373,285069,Pipox,Male,Homo-
KOMP_285072,32.96828148949159,21.28157685205339,45.75014165845502,285072,Pipox,Male,Homo-
KOMP_129860,38.08413946120325,38.862349052535016,23.053511486261737,129860,Pipox,Female,Homo-
KOMP_129866,29.35964557816893,42.24667176731949,28.393682654511572,129866,Pipox,Female,Homo-
KOMP_129869,34.62110817642322,33.46018665698601,31.91870516659076,129869,Pipox,Female,Homo-
KOMP_420424,26.319797742343233,55.28121233194736,18.39898992570941,420424,G6pd2,Male,Homo-
KOMP_429932,22.97717272096081,52.35028119423303,24.672546084806164,429932,G6pd2,Male,Homo-
KOMP_429948,25.323844915578864,39.782107980873114,34.89404710354801,429948,G6pd2,Male,Homo-
KOMP_410985,40.01584528985155,33.72051123450805,26.263643475640396,410985,G6pd2,Female,Homo-
KOMP_430037,44.00499024265845,42.16694405729752,13.82806570004402,430037,G6pd2,Female,Homo-
KOMP_432863,33.316857383960745,37.39572162583397,29.287420990205277,432863,G6pd2,Female,Homo-
KOMP_448910,38.35273371027164,20.782829861895024,40.864436427833326,448910,Pttg1,Male,Homo-
KOMP_448913,21.987546741783444,47.08181333773837,30.930639920478185,448913,Pttg1,Male,Homo-
KOMP_448924,28.64929258755462,14.477762907723063,56.87294450472231,448924,Pttg1,Male,Homo-
KOMP_493894,32.72753144549127,44.39414668550614,22.87832186900258,493894,Pttg1,Female,Homo-
KOMP_493806,37.7319229772407,48.54923610393608,13.718840918823199,493806,Pttg1,Female,Homo-
KOMP_508035,39.2005612441579,35.06438332741964,25.73505542842246,508035,Pttg1,Female,Homo-
KOMP_244183,19.541536062950467,56.28815187225111,24.17031206479842,244183,Phyh,Male,Homo-
KOMP_257899,32.74989569697307,21.428722846466837,45.8213814565601,257899,Phyh,Male,Homo-
KOMP_257807,17.379768675102486,8.830915701126784,73.78931562377073,257807,Phyh,Male,Homo-
KOMP_244289,32.85886287081896,38.63330624451852,28.507830884662503,244289,Phyh,Female,Homo-
KOMP_218139,36.76790311178754,20.985844427957254,42.2462524602552,218139,Phyh,Female,Homo-
KOMP_218142,27.022612662076632,42.42142995926144,30.55595737866192,218142,Phyh,Female,Homo-
KOMP_366627,29.131295626151626,45.59619664368274,25.27250773016564,366627,Nek2,Male,Homo-
KOMP_349640,52.14388690076242,15.025464573331398,32.83064852590619,349640,Nek2,Male,Homo-
KOMP_349643,30.091049458331238,35.7212198892707,34.18773065239808,349643,Nek2,Male,Homo-
KOMP_349745,32.9788097615066,42.1250568457831,24.896133392710304,349745,Nek2,Female,Homo-
KOMP_349748,35.954360030253014,27.220442872982026,36.82519709676497,349748,Nek2,Female,Homo-
KOMP_349774,38.1024578373088,33.02756080013938,28.869981362551826,349774,Nek2,Female,Homo-
KOMP_487174,40.148961866910696,26.953894894945226,32.89714323814408,487174,Ulk3,Male,Homo-
KOMP_511373,36.88642818806733,18.5704847842779,44.54308702765478,511373,Ulk3,Male,Homo-
KOMP_511380,22.893316578986845,47.782957610696315,29.323725810316848,511380,Ulk3,Male,Homo-
KOMP_487277,25.43680631048223,43.072212935532676,31.490980753985088,487277,Ulk3,Female,Homo-
KOMP_496303,27.99975396773369,57.28756469933387,14.712681332932426,496303,Ulk3,Female,Homo-
KOMP_496304,49.56524191677443,11.33089851619334,39.103859567032224,496304,Ulk3,Female,Homo-
KOMP_69286,32.189476626206975,48.89553814660168,18.914985227191334,69286,Sra1,Male,Homo-
KOMP_69290,32.17871944436019,27.193296947933334,40.62798360770648,69290,Sra1,Male,Homo-
KOMP_73696,41.78504132007437,25.877996251048053,32.336962428877584,73696,Sra1,Male,Homo-
KOMP_55771,28.530642274693786,41.18941414208677,30.27994358321945,55771,Sra1,Female,Homo-
KOMP_55774,42.9094757381641,21.883630634779987,35.20689362705592,55774,Sra1,Female,Homo-
KOMP_55776,27.15034311203177,42.20790047157554,30.641756416392695,55776,Sra1,Female,Homo-
KOMP_143866,36.44924249058965,46.01454173403849,17.536215775371865,143866,Atp5b,Male,Hetero
KOMP_143867,33.72493633977055,35.25635017617938,31.018713484050064,143867,Atp5b,Male,Hetero
KOMP_143869,24.660289521746787,53.34191485999141,21.997795618261804,143869,Atp5b,Male,Hetero
KOMP_144064,23.159874387441945,44.639374364534895,32.20075124802315,144064,Atp5b,Female,Hetero
KOMP_123951,32.33044482986468,51.070581321047584,16.598973849087738,123951,Atp5b,Female,Hetero
KOMP_123953,41.577033238480475,39.469179798747795,18.95378696277172,123953,Atp5b,Female,Hetero
KOMP_43709,31.360307662584518,45.663252476432056,22.976439860983426,43709,Galc,Male,Hetero
KOMP_43711,38.03047826908354,33.39544503696017,28.57407669395628,43711,Galc,Male,Hetero
KOMP_43712,25.7823008530912,24.391015310275698,49.82668383663311,43712,Galc,Male,Hetero
KOMP_40393,25.963330180060417,51.02802433550959,23.008645484429984,40393,Galc,Female,Hetero
KOMP_40494,38.14042224936197,14.922964935754065,46.93661281488397,40494,Galc,Female,Hetero
KOMP_40495,40.64163006579041,29.660670979434613,29.69769895477497,40495,Galc,Female,Hetero
KOMP_129283,30.732119825005732,18.578855114728803,50.68902506026547,129283,Dhfr,Male,Hetero
KOMP_129285,32.005873958618956,33.5514155575485,34.44271048383253,129285,Dhfr,Male,Hetero
KOMP_129286,28.50335504406367,44.78376124309341,26.712883712842935,129286,Dhfr,Male,Hetero
KOMP_122070,24.664694916613634,51.54805463280033,23.78725045058604,122070,Dhfr,Female,Hetero
KOMP_125374,43.392879050976205,12.650711949865814,43.956408999157986,125374,Dhfr,Female,Hetero
KOMP_125375,39.91193761566698,16.5663812992099,43.521681085123106,125375,Dhfr,Female,Hetero
