,t,gap,rho_local,norm_height,s_unfolded,montgomery_local,gue_distance,cz_steps,cz_max,cz_even_steps,cz_odd_steps,cz_ratio_even,cz_ratio_odd,cz_growth_factor,cz_balance
t,1.0,-0.26657413042764566,0.9694523566556671,-0.9999998269560902,-0.0009090581272570145,-0.0013476539969417174,0.007067218290298248,0.09903999898184405,0.5466373252857589,0.10771676991838784,0.08435208353119023,-0.001531739251377057,0.001531739251377057,-0.032600994989450315,-0.001531739251377057
gap,-0.26657413042764566,1.0,-0.25678443799429557,0.2662256839486709,0.9409789968074623,0.02315820817035248,-0.11588952300725476,-0.028289876191285212,-0.17909351698283635,-0.03150047208124538,-0.02305011821029737,-0.0073002738380989335,0.0073002738380989335,0.0015456816741855704,-0.0073002738380989335
rho_local,0.9694523566556671,-0.25678443799429557,1.0,-0.9694525075889442,0.01392031788703772,0.0008902290731304523,0.01252595549796302,0.10047637818312062,0.5398810662026611,0.1090304199136229,0.0860420548170689,-0.004601913331253125,0.004601913331253125,-0.02707519685968481,-0.004601913331253125
norm_height,-0.9999998269560902,0.2662256839486709,-0.9694525075889442,1.0,0.0005417186887722579,0.0013509295295471067,-0.007057299342806547,-0.09904136219544624,-0.5466374417206871,-0.10771812218592589,-0.08435346728189586,0.0015332730751857037,-0.0015332730751857037,0.03260058611919342,0.0015332730751857037
s_unfolded,-0.0009090581272570145,0.9409789968074623,0.01392031788703772,0.0005417186887722579,1.0,0.020366807662799708,-0.11899839423427346,0.007806095596520362,-0.005057423113831204,0.007755847705950154,0.007925427178630026,-0.008890445076001986,0.008890445076001986,-0.006644546974337965,-0.008890445076001986
montgomery_local,-0.0013476539969417174,0.02315820817035248,0.0008902290731304523,0.0013509295295471067,0.020366807662799708,1.0,-0.10251905983328406,0.008728881950874274,-0.0021630867408991904,0.008604246215873931,0.00888750231460154,-0.01006100488055146,0.01006100488055146,0.0006847778832364639,-0.01006100488055146
gue_distance,0.007067218290298248,-0.11588952300725476,0.01252595549796302,-0.007057299342806547,-0.11899839423427346,-0.10251905983328406,1.0,-0.0048381666516762335,0.01253431378293159,-0.0048363815845790985,-0.004886260372771381,0.004922945009549839,-0.004922945009549839,0.00962457525195652,0.004922945009549839
cz_steps,0.09903999898184405,-0.028289876191285212,0.10047637818312062,-0.09904136219544624,0.007806095596520362,0.008728881950874274,-0.0048381666516762335,1.0,0.3054289572577655,0.9999365417733833,0.99983829130682,-0.9925958042667341,0.9925958042667341,0.2876161000332752,-0.9925958042667341
cz_max,0.5466373252857589,-0.17909351698283635,0.5398810662026611,-0.5466374417206871,-0.005057423113831204,-0.0021630867408991904,0.01253431378293159,0.3054289572577655,1.0,0.3108417472924253,0.2965189789036566,-0.24417637554573912,0.24417637554573912,0.7626005135433571,-0.24417637554573912
cz_even_steps,0.10771676991838784,-0.03150047208124538,0.1090304199136229,-0.10771812218592589,0.007755847705950154,0.008604246215873931,-0.0048363815845790985,0.9999365417733833,0.3108417472924253,1.0,0.9995867498826454,-0.9912584897733273,0.9912584897733273,0.2868401248977836,-0.9912584897733273
cz_odd_steps,0.08435208353119023,-0.02305011821029737,0.0860420548170689,-0.08435346728189586,0.007925427178630026,0.00888750231460154,-0.004886260372771381,0.99983829130682,0.2965189789036566,0.9995867498826454,1.0,-0.9945246610983086,0.9945246610983086,0.28877195324884714,-0.9945246610983086
cz_ratio_even,-0.001531739251377057,-0.0073002738380989335,-0.004601913331253125,0.0015332730751857037,-0.008890445076001986,-0.01006100488055146,0.004922945009549839,-0.9925958042667341,-0.24417637554573912,-0.9912584897733273,-0.9945246610983086,1.0,-1.0,-0.29351852866597444,1.0
cz_ratio_odd,0.001531739251377057,0.0073002738380989335,0.004601913331253125,-0.0015332730751857037,0.008890445076001986,0.01006100488055146,-0.004922945009549839,0.9925958042667341,0.24417637554573912,0.9912584897733273,0.9945246610983086,-1.0,1.0,0.29351852866597444,-1.0
cz_growth_factor,-0.032600994989450315,0.0015456816741855704,-0.02707519685968481,0.03260058611919342,-0.006644546974337965,0.0006847778832364639,0.00962457525195652,0.2876161000332752,0.7626005135433571,0.2868401248977836,0.28877195324884714,-0.29351852866597444,0.29351852866597444,1.0,-0.29351852866597444
cz_balance,-0.001531739251377057,-0.0073002738380989335,-0.004601913331253125,0.0015332730751857037,-0.008890445076001986,-0.01006100488055146,0.004922945009549839,-0.9925958042667341,-0.24417637554573912,-0.9912584897733273,-0.9945246610983086,1.0,-1.0,-0.29351852866597444,1.0
