scale,feature_set,silhouette,n
1000,riemann_only,0.22656951925560787,9999
1000,collatz_only,0.5479920037550442,9999
1000,hybrid,0.24629232963928258,9999
10000,riemann_only,0.22656951925560787,9999
10000,collatz_only,0.5378738194445263,9999
10000,hybrid,0.23192854582209307,9999
100000,riemann_only,0.22656951925560787,9999
100000,collatz_only,0.5453216795097979,9999
100000,hybrid,0.26051148223698706,9999
1000000,riemann_only,0.22656951925560787,9999
1000000,collatz_only,0.5304099959087473,9999
1000000,hybrid,0.23110640566490007,9999
